,content,sentiment
0,@babypatches good day lot stretching sleeping sun,1
1,@philritchie boom will boom saw movie last night really enjoyed,1
2,@jaezors b day may party sat come gay,1
3,finished recording improvisation second instrument latest podcast happy. nearly mixing time.,1
4,feel well. feel like could throw up throat hurt really bad sad day,0
5,@ragazza matta take quot how well know me quot quiz made one day... one took yet put pic yday fb xx,1
6,listening house music what else got gig san francisco next friday. detail djspy,1
7,@mannyishere awww he cute wish could ve gone,0
8,joined twitter... hiya world,1
9,say still dreaming nikon d..errr ate kuya please lang huhuh http plurk.com p wxrx,0
10,wow...virtualpc screen go black anymore win rc also there s nvidia driver crashing...i m happy upgrade,1
11,@mfrancella yet even get play year soon hope,1
12,wanna go dbsk oppa s mirotic concert thailand really wanna go muchhhhh... burst tear,1
13,@sarahnd nearly month exciting,1
14,@jadeyyg http twitpic.com wrxq whens little gingg getting twitter g j,1
15,gooodmorning people earth,1
16,leaving sf soon. might cry.,0
17,got back grandparent suprise th anniversary party...it sooooo much fun,1
18,@akdb tell,0
19,sooo pleased sun shining today garden come,1
20,home home @ last time step outside life,1
21,@petty happy birthday cheer pao,1
22,@daftlikejack seems totally awesome me know two real reason celebrating.,1
23,im watching tv home wishing could get chicken shish delivered go enough penny,0
24,@rosellyanna forgot word started cry stopped singing carried cried stopped,0
25,@cheergod yeah tell ha ha.,1
26,@walkaboutgroup fun guy day behind,1
27,@imjustlalayone damn girl ya gotta let know get kit together amp got flyer next weekend i quot m down,0
28,never starbucks coffee entire life people keep making jealous,0
29,@oohnoo that s great weee visitor,1
30,feeling better something tummy,1
31,@nora elaine s online mommy too. give good advice.,1
32,think would good radio dj...i like awesome music great personality,1
33,day beasted me.,0
34,@leischenshows always come money least rotten law average,0
35,@jaisey aloha jaisey im excited. supernatural back tv tonight jensen fest tonite,1
36,curious case benjamin button excited fucking movie,1
37,u friendster add me email adress add loco crime st@yahoo.com add leave comment,1
38,ugh know u even care nicole richie c missed tv last nite despite twitter @jennortigoza,0
39,@mig say why kge last day job today wont saying around anymore,0
40,social. saw g .. awwww,0
41,gave bike thorough wash degrease grease it. think really good job,1
42,cousin leon born today,1
43,aww sunny day tasty barbeque family got bad sunburn though,1
44,least get watch time let s go pen,1
45,@tom pollard never. banned court order,0
46,@chacity follower me. wanna cool her. follow never happen.,0
